area_numbe,comm_name,population,no_internet,internet,broadband,poverty,unemployment,median_income,hispanic,black,white,asian,ccvi_score,ccvi_cat,hardship_score
50,Pullman,6840,17.35,77.09,76.07,23.4,17.5,42543,5.51,81.05,9.97,0.13,46.4,MEDIUM,51
51,South Deering,15475,22.45,75.93,75.80,25.65,19.4,36221.5,30.80,65.12,3.79,0.00,52.5,HIGH,65
52,East Side,23723,17.14,81.51,81.38,15.5,10.05,50527,81.97,3.65,13.73,0.45,43.9,MEDIUM,64
53,West Pullman,30020,20.53,76.44,76.20,15.5,15.8,43143,5.20,91.87,0.97,0.00,49.2,HIGH,62
54,Riverdale,7359,24.38,72.40,71.94,49.2,30.7,15408,3.51,94.99,1.21,0.30,35.6,MEDIUM,98
55,Hegewisch,9089,18.24,76.88,76.88,9.2,6,53768.5,60.41,4.24,35.11,0.00,35.8,MEDIUM,44
56,Garfield Ridge,37207,16.88,77.64,77.03,6.6,9.55,61334.5,50.99,5.25,41.81,1.21,49,HIGH,32
57,Archer Heights,13726,19.70,73.64,73.64,10.1,8.1,48629,77.42,0.95,15.37,5.97,53.3,HIGH,67
58,Brighton Park,44156,20.91,75.83,75.45,19.2,10.45,44717,80.90,1.20,6.83,10.22,48.5,HIGH,84
59,McKinley Park,15177,12.58,84.60,83.56,12.3,7,48281,56.35,1.46,17.30,23.88,36.8,MEDIUM,61
60,Bridgeport,34540,12.94,83.88,83.69,10.55,6.6,58381,21.88,3.01,34.24,39.59,21.6,LOW,43
61,New City,39508,24.73,71.08,70.89,30.3,21.1,32679,61.46,23.03,12.74,1.95,59.7,HIGH,91
62,West Elsdon,19126,18.54,78.48,78.48,5.75,10.45,61868,80.90,1.67,14.48,2.81,48.6,HIGH,69
63,Gage Park,37478,19.60,73.46,73.46,16.3,13,43411.5,91.31,3.99,3.94,0.62,58.8,HIGH,93
64,Clearing,24976,16.56,79.70,79.16,9.9,9.3,56250,54.06,2.27,41.82,0.50,42.7,MEDIUM,29
65,West Lawn,31886,18.90,76.51,75.71,12.55,10.1,52992.5,83.97,2.65,12.63,0.45,48.5,HIGH,56
66,Chicago Lawn,51352,23.69,69.15,69.02,24.6,21,34230,51.57,43.19,2.97,0.52,57.8,HIGH,80
67,West Englewood,26346,38.09,57.24,57.24,29.9,26.1,27277,9.37,87.67,1.61,0.09,63.7,HIGH,89
68,Englewood,22921,34.60,56.58,56.31,36.6,25.7,23125,3.69,94.64,0.61,0.30,55.3,HIGH,94
69,Greater Grand Crossing,30149,31.65,63.46,63.10,31.05,20,29197.5,1.74,95.65,1.01,0.01,46,MEDIUM,66
70,Ashburn,43356,14.02,79.62,79.56,8.75,10.1,69261,41.33,45.87,9.48,0.95,45.1,MEDIUM,37
71,Auburn Gresham,45909,30.78,60.57,59.97,23.6,17.1,35568,2.18,95.39,1.14,0.31,48.2,HIGH,74
72,Beverly,19791,7.79,89.16,89.03,1.7,4.8,111667,4.94,34.23,57.52,0.81,27.4,LOW,12
73,Washington Heights,26742,22.92,72.27,72.15,16.25,16.25,52541,1.14,96.10,1.35,0.16,53.2,HIGH,48
74,Mount Greenwood,19190,12.96,85.62,85.39,2.55,3.55,99436,10.47,3.53,82.85,1.84,30.5,LOW,16
75,Morgan Park,27114,19.42,74.14,73.98,5.9,8.1,55750,9.77,53.73,33.81,0.51,43.3,MEDIUM,30
76,O'Hare,12861,19.58,76.31,76.31,5.7,5.9,54177,10.53,1.99,73.25,12.28,19,LOW,24
77,Edgewater,57649,11.80,81.19,80.99,12,4.6,47500,15.04,12.31,56.60,12.44,17.3,LOW,19
